Ensembl Protein ID	Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name	Description
ENSRNOP00000000050	ENSRNOT00000000050	ENSRNOG00000000044	Tmem175	transmembrane protein 175 [Source:RGD Symbol;Acc:1309712]
ENSRNOP00000000052	ENSRNOT00000000052	ENSRNOG00000000047	Cd82	Cd82 molecule [Source:RGD Symbol;Acc:69070]
ENSRNOP00000000053	ENSRNOT00000000053	ENSRNOG00000004698	Cd244	"Cd244 molecule, natural killer cell receptor 2B4 [Source:RGD Symbol;Acc:68400]"
ENSRNOP00000000058	ENSRNOT00000000058	ENSRNOG00000000053	Crp	"C-reactive protein, pentraxin-related [Source:RGD Symbol;Acc:2411]"
ENSRNOP00000000059	ENSRNOT00000000059	ENSRNOG00000000055	Fcrl6	Fc receptor-like 6 [Source:RGD Symbol;Acc:1563939]
ENSRNOP00000000060	ENSRNOT00000000060	ENSRNOG00000000054	Abhd8	abhydrolase domain containing 8 [Source:RGD Symbol;Acc:1305693]
ENSRNOP00000000064	ENSRNOT00000000064	ENSRNOG00000000048	Gak	cyclin G associated kinase [Source:RGD Symbol;Acc:621589]
ENSRNOP00000000071	ENSRNOT00000000071	ENSRNOG00000000062	Pcgf3	polycomb group ring finger 3 [Source:RGD Symbol;Acc:1311479]
ENSRNOP00000000072	ENSRNOT00000000072	ENSRNOG00000000064	Atp5i	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E [Source:RGD Symbol;Acc:621377]"
ENSRNOP00000000074	ENSRNOT00000000074	ENSRNOG00000000066	Fbxo28	F-box protein 28 [Source:RGD Symbol;Acc:1304584]
ENSRNOP00000000077	ENSRNOT00000000077	ENSRNOG00000000065	Pde6b	"phosphodiesterase 6B, cGMP-specific, rod, beta [Source:RGD Symbol;Acc:1311039]"
ENSRNOP00000000078	ENSRNOT00000000078	ENSRNOG00000000068	Ppp2r5a	"protein phosphatase 2, regulatory subunit B', alpha [Source:RGD Symbol;Acc:1308022]"
ENSRNOP00000000079	ENSRNOT00000000079	ENSRNOG00000010580	Acot7	acyl-CoA thioesterase 7 [Source:RGD Symbol;Acc:628856]
ENSRNOP00000000080	ENSRNOT00000000080	ENSRNOG00000000070	Dr1	down-regulator of transcription 1 [Source:RGD Symbol;Acc:1305201]
ENSRNOP00000000083	ENSRNOT00000000083	ENSRNOG00000000073	Tmed5	transmembrane p24 trafficking protein 5 [Source:RGD Symbol;Acc:1359437]
ENSRNOP00000000086	ENSRNOT00000000086	ENSRNOG00000000075	Mtf2	metal response element binding transcription factor 2 [Source:RGD Symbol;Acc:1304727]
ENSRNOP00000000092	ENSRNOT00000000092	ENSRNOG00000000081	Antxr2	anthrax toxin receptor 2 [Source:MGI Symbol;Acc:MGI:1919164]
ENSRNOP00000000101	ENSRNOT00000000101	ENSRNOG00000028382	Rfxapl1	regulatory factor X-associated protein-like 1 [Source:RGD Symbol;Acc:9303218]
ENSRNOP00000000102	ENSRNOT00000000102	ENSRNOG00000000091	Smad9	SMAD family member 9 [Source:RGD Symbol;Acc:71004]
ENSRNOP00000000106	ENSRNOT00000000106	ENSRNOG00000000095	Gpr89b	G protein-coupled receptor 89B [Source:RGD Symbol;Acc:1304837]
ENSRNOP00000000107	ENSRNOT00000000107	ENSRNOG00000000096	Pdzk1	PDZ domain containing 1 [Source:RGD Symbol;Acc:70924]
ENSRNOP00000000109	ENSRNOT00000000109	ENSRNOG00000000097	Cd160	CD160 molecule [Source:RGD Symbol;Acc:1563598]
ENSRNOP00000000110	ENSRNOT00000000110	ENSRNOG00000000098	Rnf115	ring finger protein 115 [Source:RGD Symbol;Acc:1305315]
ENSRNOP00000000116	ENSRNOT00000000116	ENSRNOG00000000104	Thoc3	THO complex 3 [Source:RGD Symbol;Acc:1311669]
ENSRNOP00000000117	ENSRNOT00000000117	ENSRNOG00000000105	Cplx2	complexin 2 [Source:RGD Symbol;Acc:70945]
ENSRNOP00000000118	ENSRNOT00000019158	ENSRNOG00000027040	Ggact	gamma-glutamylamine cyclotransferase [Source:RGD Symbol;Acc:1304748]
ENSRNOP00000000120	ENSRNOT00000000120	ENSRNOG00000000108	Aga	aspartylglucosaminidase [Source:RGD Symbol;Acc:1309646]
ENSRNOP00000000121	ENSRNOT00000000121	ENSRNOG00000000109	Fgf20	fibroblast growth factor 20 [Source:RGD Symbol;Acc:71068]
ENSRNOP00000000123	ENSRNOT00000000123	ENSRNOG00000000111	Coprs	"coordinator of PRMT5, differentiation stimulator [Source:RGD Symbol;Acc:1565675]"
ENSRNOP00000000124	ENSRNOT00000000124	ENSRNOG00000000112	Champ1	chromosome alignment maintaining phosphoprotein 1 [Source:RGD Symbol;Acc:1311283]
ENSRNOP00000000125	ENSRNOT00000000125	ENSRNOG00000000113	Elac1	elaC ribonuclease Z 1 [Source:RGD Symbol;Acc:1304757]
ENSRNOP00000000133	ENSRNOT00000000133	ENSRNOG00000000121	Pigv	"phosphatidylinositol glycan anchor biosynthesis, class V [Source:RGD Symbol;Acc:1309526]"
ENSRNOP00000000134	ENSRNOT00000000134	ENSRNOG00000000122	Ak2	adenylate kinase 2 [Source:RGD Symbol;Acc:2077]
ENSRNOP00000000136	ENSRNOT00000000136	ENSRNOG00000000124	AABR07065970.1	
ENSRNOP00000000139	ENSRNOT00000000139	ENSRNOG00000000127	Kpna6	karyopherin alpha 6 (importin alpha 7) [Source:RGD Symbol;Acc:1306570]
ENSRNOP00000000141	ENSRNOT00000000141	ENSRNOG00000000129	Phf24	PHD finger protein 24 [Source:RGD Symbol;Acc:1559864]
ENSRNOP00000000142	ENSRNOT00000000142	ENSRNOG00000000130	Dnajb5	"DnaJ (Hsp40) homolog, subfamily B, member 5 [Source:RGD Symbol;Acc:1307453]"
ENSRNOP00000000146	ENSRNOT00000000146	ENSRNOG00000000133	Txndc15	thioredoxin domain containing 15 [Source:RGD Symbol;Acc:1304696]
ENSRNOP00000000149	ENSRNOT00000000149	ENSRNOG00000000137	Ly86	lymphocyte antigen 86 [Source:RGD Symbol;Acc:1309936]
ENSRNOP00000000155	ENSRNOT00000000155	ENSRNOG00000000142	Plxdc2	plexin domain containing 2 [Source:RGD Symbol;Acc:1305962]
ENSRNOP00000000157	ENSRNOT00000000157	ENSRNOG00000000145	Pik3r3	"phosphoinositide-3-kinase, regulatory subunit 3 (gamma) [Source:RGD Symbol;Acc:621042]"
ENSRNOP00000000158	ENSRNOT00000000158	ENSRNOG00000049452	Nebl	nebulette [Source:RGD Symbol;Acc:1308315]
ENSRNOP00000000162	ENSRNOT00000000162	ENSRNOG00000000150	Dnajc1	"DnaJ (Hsp40) homolog, subfamily C, member 1 [Source:RGD Symbol;Acc:2322144]"
ENSRNOP00000000163	ENSRNOT00000000163	ENSRNOG00000000151	Ldlrap1	low density lipoprotein receptor adaptor protein 1 [Source:RGD Symbol;Acc:1563417]
ENSRNOP00000000167	ENSRNOT00000000167	ENSRNOG00000027731	Ubxn10	UBX domain protein 10 [Source:RGD Symbol;Acc:1308335]
ENSRNOP00000000168	ENSRNOT00000000168	ENSRNOG00000000155	Cog3	component of oligomeric golgi complex 3 [Source:RGD Symbol;Acc:1304555]
ENSRNOP00000000169	ENSRNOT00000000169	ENSRNOG00000000156	LOC100911486	multiple epidermal growth factor-like domains protein 6-like [Source:RGD Symbol;Acc:6492904]
ENSRNOP00000000170	ENSRNOT00000000170	ENSRNOG00000000157	Atg12	autophagy related 12 [Source:RGD Symbol;Acc:1306306]
ENSRNOP00000000172	ENSRNOT00000000172	ENSRNOG00000000158	Cdo1	cysteine dioxygenase type 1 [Source:RGD Symbol;Acc:69262]
ENSRNOP00000000173	ENSRNOT00000000173	ENSRNOG00000024138	Dusp21	dual specificity phosphatase 21 [Source:RGD Symbol;Acc:1560427]
ENSRNOP00000000174	ENSRNOT00000000174	ENSRNOG00000000161	Chm	choroideremia (Rab escort protein 1) [Source:RGD Symbol;Acc:2340]
ENSRNOP00000000177	ENSRNOT00000000177	ENSRNOG00000000164	Lamp2	lysosomal-associated membrane protein 2 [Source:RGD Symbol;Acc:2990]
ENSRNOP00000000178	ENSRNOT00000000178	ENSRNOG00000000165	Pfkfb1	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 [Source:RGD Symbol;Acc:3307]"
ENSRNOP00000000180	ENSRNOT00000000180	ENSRNOG00000000167	Alas2	5'-aminolevulinate synthase 2 [Source:RGD Symbol;Acc:2084]
ENSRNOP00000000181	ENSRNOT00000000181	ENSRNOG00000000168	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:RGD Symbol;Acc:71090]
ENSRNOP00000000184	ENSRNOT00000000184	ENSRNOG00000000170	Slc30a4	"solute carrier family 30 (zinc transporter), member 4 [Source:RGD Symbol;Acc:619750]"
ENSRNOP00000000193	ENSRNOT00000000193	ENSRNOG00000000177	Ppap2c	phosphatidic acid phosphatase type 2c [Source:RGD Symbol;Acc:628893]
ENSRNOP00000000200	ENSRNOT00000000200	ENSRNOG00000000184	Tmprss6	"transmembrane protease, serine 6 [Source:RGD Symbol;Acc:1307138]"
ENSRNOP00000000201	ENSRNOT00000000201	ENSRNOG00000000185	Mpst	mercaptopyruvate sulfurtransferase [Source:RGD Symbol;Acc:620065]
ENSRNOP00000000203	ENSRNOT00000000203	ENSRNOG00000000187	Csf2rb	"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:RGD Symbol;Acc:620189]"
ENSRNOP00000000205	ENSRNOT00000000205	ENSRNOG00000024631	Chadl	chondroadherin-like [Source:RGD Symbol;Acc:6504353]
ENSRNOP00000000206	ENSRNOT00000000206	ENSRNOG00000000190	Ep300	E1A binding protein p300 [Source:RGD Symbol;Acc:620036]
ENSRNOP00000000211	ENSRNOT00000000211	ENSRNOG00000046414	Vwa5a	von Willebrand factor A domain containing 5A [Source:RGD Symbol;Acc:735145]
ENSRNOP00000000212	ENSRNOT00000000212	ENSRNOG00000000196	Cyp19a1	"cytochrome P450, family 19, subfamily a, polypeptide 1 [Source:RGD Symbol;Acc:2457]"
ENSRNOP00000000215	ENSRNOT00000000215	ENSRNOG00000000199	RGD1564306	similar to developmental pluripotency associated 5 [Source:RGD Symbol;Acc:1564306]
ENSRNOP00000000239	ENSRNOT00000000239	ENSRNOG00000000221	Abhd5	abhydrolase domain containing 5 [Source:RGD Symbol;Acc:1303237]
ENSRNOP00000000246	ENSRNOT00000000246	ENSRNOG00000000230	Lmf1	lipase maturation factor 1 [Source:RGD Symbol;Acc:1310180]
ENSRNOP00000000248	ENSRNOT00000000248	ENSRNOG00000029205	Zfp354c	zinc finger protein 354C [Source:RGD Symbol;Acc:69405]
ENSRNOP00000000249	ENSRNOT00000000249	ENSRNOG00000000233	Grm6	"glutamate receptor, metabotropic 6 [Source:RGD Symbol;Acc:2747]"
ENSRNOP00000000253	ENSRNOT00000000253	ENSRNOG00000000236	Zfp207	zinc finger protein 207 [Source:RGD Symbol;Acc:1308121]
ENSRNOP00000000254	ENSRNOT00000000254	ENSRNOG00000000237	RGD1310429	similar to Protein Njmu-R1 [Source:RGD Symbol;Acc:1310429]
ENSRNOP00000000256	ENSRNOT00000000256	ENSRNOG00000000239	Ccl7	chemokine (C-C motif) ligand 7 [Source:RGD Symbol;Acc:1359152]
ENSRNOP00000000258	ENSRNOT00000000258	ENSRNOG00000002778	Aatf	apoptosis antagonizing transcription factor [Source:RGD Symbol;Acc:620685]
ENSRNOP00000000263	ENSRNOT00000000263	ENSRNOG00000000246	Amz2	archaelysin family metallopeptidase 2 [Source:RGD Symbol;Acc:1304846]
ENSRNOP00000000264	ENSRNOT00000000264	ENSRNOG00000000247	Mfsd11	major facilitator superfamily domain containing 11 [Source:RGD Symbol;Acc:1307394]
ENSRNOP00000000266	ENSRNOT00000000266	ENSRNOG00000000249	Mettl23	methyltransferase like 23 [Source:RGD Symbol;Acc:1306284]
ENSRNOP00000000275	ENSRNOT00000000275	ENSRNOG00000000258	Prmt7	protein arginine methyltransferase 7 [Source:RGD Symbol;Acc:1304869]
ENSRNOP00000000279	ENSRNOT00000000279	ENSRNOG00000000262	Zfp821	zinc finger protein 821 [Source:RGD Symbol;Acc:1306674]
ENSRNOP00000000281	ENSRNOT00000000281	ENSRNOG00000000264	Def8	differentially expressed in FDCP 8 homolog (mouse) [Source:RGD Symbol;Acc:1309008]
ENSRNOP00000000299	ENSRNOT00000000299	ENSRNOG00000000274	Phyhipl	phytanoyl-CoA 2-hydroxylase interacting protein-like [Source:RGD Symbol;Acc:1307967]
ENSRNOP00000000302	ENSRNOT00000000302	ENSRNOG00000000277	Tet1	tet methylcytosine dioxygenase 1 [Source:RGD Symbol;Acc:1310993]
ENSRNOP00000000304	ENSRNOT00000000304	ENSRNOG00000000279	Rtn4ip1	reticulon 4 interacting protein 1 [Source:RGD Symbol;Acc:1563384]
ENSRNOP00000000306	ENSRNOT00000000306	ENSRNOG00000038001	Slc25a1	"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1 [Source:RGD Symbol;Acc:3703]"
ENSRNOP00000000308	ENSRNOT00000000308	ENSRNOG00000000283	Dgcr14	DiGeorge syndrome critical region gene 14 [Source:RGD Symbol;Acc:1308218]
ENSRNOP00000000312	ENSRNOT00000000312	ENSRNOG00000037983	Car15	carbonic anhydrase 15 [Source:RGD Symbol;Acc:1306018]
ENSRNOP00000000313	ENSRNOT00000000313	ENSRNOG00000000288	Scarf2	"scavenger receptor class F, member 2 [Source:RGD Symbol;Acc:1306013]"
ENSRNOP00000000325	ENSRNOT00000000325	ENSRNOG00000028658	Olig2	oligodendrocyte lineage transcription factor 2 [Source:RGD Symbol;Acc:1307098]
ENSRNOP00000000327	ENSRNOT00000000327	ENSRNOG00000000299	Foxo3	forkhead box O3 [Source:RGD Symbol;Acc:1309196]
ENSRNOP00000000331	ENSRNOT00000000331	ENSRNOG00000000303	Cep57l1	centrosomal protein 57-like 1 [Source:RGD Symbol;Acc:1311358]
ENSRNOP00000000334	ENSRNOT00000000334	ENSRNOG00000000304	Cd164	"CD164 molecule, sialomucin [Source:RGD Symbol;Acc:70942]"
ENSRNOP00000000336	ENSRNOT00000000336	ENSRNOG00000000306	Smpd2	"sphingomyelin phosphodiesterase 2, neutral membrane [Source:RGD Symbol;Acc:619753]"
ENSRNOP00000000337	ENSRNOT00000000337	ENSRNOG00000000307	Mical1	"microtubule associated monooxygenase, calponin and LIM domain containing 1 [Source:RGD Symbol;Acc:1309386]"
ENSRNOP00000000341	ENSRNOT00000000340	ENSRNOG00000037668	Ccdc162	coiled-coil domain containing 162 [Source:RGD Symbol;Acc:1561147]
ENSRNOP00000000343	ENSRNOT00000000343	ENSRNOG00000000312	Fig4	FIG4 phosphoinositide 5-phosphatase [Source:RGD Symbol;Acc:1311375]
ENSRNOP00000000348	ENSRNOT00000000348	ENSRNOG00000000316	Sobp	sine oculis binding protein homolog [Source:RGD Symbol;Acc:1560479]
ENSRNOP00000000351	ENSRNOT00000000351	ENSRNOG00000000320	Timm10b	translocase of inner mitochondrial membrane 10 homolog B (yeast) [Source:RGD Symbol;Acc:71097]
ENSRNOP00000000352	ENSRNOT00000000352	ENSRNOG00000000321	Cd24	CD24 molecule [Source:RGD Symbol;Acc:2298]
ENSRNOP00000000365	ENSRNOT00000000365	ENSRNOG00000000327	Hace1	"HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1 [Source:RGD Symbol;Acc:1306114]"
ENSRNOP00000000383	ENSRNOT00000000383	ENSRNOG00000000341	Nid2	nidogen 2 (osteonidogen) [Source:RGD Symbol;Acc:1311685]
ENSRNOP00000000432	ENSRNOT00000000432	ENSRNOG00000000384	Atoh7	atonal bHLH transcription factor 7 [Source:RGD Symbol;Acc:1304957]
ENSRNOP00000000434	ENSRNOT00000000434	ENSRNOG00000000386	Pbld1	phenazine biosynthesis-like protein domain containing 1 [Source:RGD Symbol;Acc:621263]
ENSRNOP00000000438	ENSRNOT00000000438	ENSRNOG00000000387	Slc25a16	"solute carrier family 25 (mitochondrial carrier), member 16 [Source:RGD Symbol;Acc:1311311]"
ENSRNOP00000000441	ENSRNOT00000000441	ENSRNOG00000000392	Supv3l1	SUV3-like helicase [Source:RGD Symbol;Acc:1305565]
ENSRNOP00000000443	ENSRNOT00000000443	ENSRNOG00000000394	Srgn	serglycin [Source:RGD Symbol;Acc:619969]
ENSRNOP00000000444	ENSRNOT00000000444	ENSRNOG00000000395	Kif1bp	KIF1 binding protein [Source:RGD Symbol;Acc:1593126]
ENSRNOP00000000446	ENSRNOT00000000446	ENSRNOG00000000396	Ddx50	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 [Source:RGD Symbol;Acc:1310934]
ENSRNOP00000000448	ENSRNOT00000000448	ENSRNOG00000000398	Zufsp	zinc finger with UFM1-specific peptidase domain [Source:RGD Symbol;Acc:1307672]
ENSRNOP00000000451	ENSRNOT00000000451	ENSRNOG00000000401	Gprc6a	"G protein-coupled receptor, class C, group 6, member A [Source:RGD Symbol;Acc:735077]"
ENSRNOP00000000456	ENSRNOT00000000456	ENSRNOG00000000405	Vgll2	vestigial-like family member 2 [Source:RGD Symbol;Acc:1311903]
ENSRNOP00000000459	ENSRNOT00000000459	ENSRNOG00000000406	Ros1	"ROS proto-oncogene 1 , receptor tyrosine kinase [Source:RGD Symbol;Acc:3591]"
ENSRNOP00000000462	ENSRNOT00000000462	ENSRNOG00000000407	Dcbld1	"discoidin, CUB and LCCL domain containing 1 [Source:RGD Symbol;Acc:1307211]"
ENSRNOP00000000467	ENSRNOT00000000467	ENSRNOG00000000411	Nus1	NUS1 dehydrodolichyl diphosphate synthase subunit [Source:RGD Symbol;Acc:1307879]
ENSRNOP00000000468	ENSRNOT00000000468	ENSRNOG00000000412	Slc35f1	"solute carrier family 35, member F1 [Source:RGD Symbol;Acc:1559576]"
ENSRNOP00000000469	ENSRNOT00000000469	ENSRNOG00000000413	Pln	phospholamban [Source:RGD Symbol;Acc:619894]
ENSRNOP00000000471	ENSRNOT00000000471	ENSRNOG00000000415	Asf1a	anti-silencing function 1A histone chaperone [Source:RGD Symbol;Acc:1311941]
ENSRNOP00000000474	ENSRNOT00000000474	ENSRNOG00000000417	Numa1	nuclear mitotic apparatus protein 1 [Source:RGD Symbol;Acc:1308777]
ENSRNOP00000000475	ENSRNOT00000000475	ENSRNOG00000026407	Fam184a	"family with sequence similarity 184, member A [Source:RGD Symbol;Acc:1311294]"
ENSRNOP00000000476	ENSRNOT00000000476	ENSRNOG00000000418	Zbtb12	zinc finger and BTB domain containing 12 [Source:RGD Symbol;Acc:1302958]
ENSRNOP00000000477	ENSRNOT00000000477	ENSRNOG00000051158	Cfb	complement factor B [Source:RGD Symbol;Acc:2204]
ENSRNOP00000000478	ENSRNOT00000000478	ENSRNOG00000000420	Nelfe	negative elongation factor complex member E [Source:RGD Symbol;Acc:1303325]
ENSRNOP00000000481	ENSRNOT00000000481	ENSRNOG00000000421	Skiv2l	"SKI2 homolog, superkiller viralicidic activity 2-like [Source:RGD Symbol;Acc:1303059]"
ENSRNOP00000000483	ENSRNOT00000000483	ENSRNOG00000000422	Dxo	decapping exoribonuclease [Source:RGD Symbol;Acc:1303267]
ENSRNOP00000000492	ENSRNOT00000000492	ENSRNOG00000000431	Atf6b	activating transcription factor 6 beta [Source:RGD Symbol;Acc:1303317]
ENSRNOP00000000494	ENSRNOT00000000494	ENSRNOG00000000432	Fkbpl	FK506 binding protein-like [Source:RGD Symbol;Acc:1303227]
ENSRNOP00000000495	ENSRNOT00000000495	ENSRNOG00000000433	Prrt1	proline-rich transmembrane protein 1 [Source:RGD Symbol;Acc:1359348]
ENSRNOP00000000497	ENSRNOT00000000497	ENSRNOG00000000435	Ppt2	palmitoyl-protein thioesterase 2 [Source:RGD Symbol;Acc:620375]
ENSRNOP00000000499	ENSRNOT00000000499	ENSRNOG00000000436	Egfl8	"EGF-like-domain, multiple 8 [Source:RGD Symbol;Acc:1549706]"
ENSRNOP00000000500	ENSRNOT00000000500	ENSRNOG00000000437	Agpat1	1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:RGD Symbol;Acc:1303287]
ENSRNOP00000000501	ENSRNOT00000000501	ENSRNOG00000000438	Rnf5	"ring finger protein 5, E3 ubiquitin protein ligase [Source:RGD Symbol;Acc:1588458]"
ENSRNOP00000000508	ENSRNOT00000000508	ENSRNOG00000000439	Ager	advanced glycosylation end product-specific receptor [Source:RGD Symbol;Acc:69258]
ENSRNOP00000000509	ENSRNOT00000000509	ENSRNOG00000000440	Pbx2	pre-B-cell leukemia homeobox 2 [Source:RGD Symbol;Acc:1303084]
ENSRNOP00000000510	ENSRNOT00000000510	ENSRNOG00000000441	Gpsm3	G-protein signaling modulator 3 [Source:RGD Symbol;Acc:1303014]
ENSRNOP00000000513	ENSRNOT00000000513	ENSRNOG00000000442	Notch4	notch 4 [Source:RGD Symbol;Acc:1303282]
ENSRNOP00000000514	ENSRNOT00000000514	ENSRNOG00000000443	C4a	complement component 4A (Rodgers blood group) [Source:RGD Symbol;Acc:620005]
ENSRNOP00000000522	ENSRNOT00000000522	ENSRNOG00000033215	RT1-Db1	"RT1 class II, locus Db1 [Source:RGD Symbol;Acc:1593282]"
ENSRNOP00000000523	ENSRNOT00000000523	ENSRNOG00000000451	RT1-Ba	"RT1 class II, locus Ba [Source:RGD Symbol;Acc:1595867]"
ENSRNOP00000000525	ENSRNOT00000000525	ENSRNOG00000032708	RT1-Bb	"RT1 class II, locus Bb [Source:RGD Symbol;Acc:3469]"
ENSRNOP00000000526	ENSRNOT00000000526	ENSRNOG00000000454	RT1-DOb	"RT1 class II, locus DOb [Source:RGD Symbol;Acc:1595814]"
ENSRNOP00000000527	ENSRNOT00000000527	ENSRNOG00000000455	Tap2	"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) [Source:RGD Symbol;Acc:3818]"
ENSRNOP00000000528	ENSRNOT00000000528	ENSRNOG00000000456	Psmb8	proteasome subunit beta 8 [Source:RGD Symbol;Acc:3426]
ENSRNOP00000000529	ENSRNOT00000000529	ENSRNOG00000000457	Tap1	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:RGD Symbol;Acc:3817]"
ENSRNOP00000000532	ENSRNOT00000000532	ENSRNOG00000000459	Psmb9	proteasome subunit beta 9 [Source:RGD Symbol;Acc:3427]
ENSRNOP00000000535	ENSRNOT00000000535	ENSRNOG00000000461	Brd2	bromodomain containing 2 [Source:RGD Symbol;Acc:1303324]
ENSRNOP00000000541	ENSRNOT00000000541	ENSRNOG00000000465	Slc39a7	"solute carrier family 39 (zinc transporter), member 7 [Source:RGD Symbol;Acc:1593280]"
ENSRNOP00000000542	ENSRNOT00000000542	ENSRNOG00000000466	Hsd17b8	hydroxysteroid (17-beta) dehydrogenase 8 [Source:RGD Symbol;Acc:1303158]
ENSRNOP00000000543	ENSRNOT00000000543	ENSRNOG00000000467	Ring1	ring finger protein 1 [Source:RGD Symbol;Acc:3576]
ENSRNOP00000000549	ENSRNOT00000000549	ENSRNOG00000000470	Vps52	vacuolar protein sorting 52 homolog (S. cerevisiae) [Source:RGD Symbol;Acc:3618]
ENSRNOP00000000550	ENSRNOT00000000550	ENSRNOG00000000471	B3galt4	"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4 [Source:RGD Symbol;Acc:620328]"
ENSRNOP00000000552	ENSRNOT00000000552	ENSRNOG00000031171	Wdr46	WD repeat domain 46 [Source:RGD Symbol;Acc:2209]
ENSRNOP00000000553	ENSRNOT00000000553	ENSRNOG00000000473	Pfdn6	prefoldin subunit 6 [Source:RGD Symbol;Acc:1303006]
ENSRNOP00000000554	ENSRNOT00000000554	ENSRNOG00000000474	Rgl2	ral guanine nucleotide dissociation stimulator-like 2 [Source:RGD Symbol;Acc:1302985]
ENSRNOP00000000558	ENSRNOT00000000558	ENSRNOG00000000476	Zbtb22	zinc finger and BTB domain containing 22 [Source:RGD Symbol;Acc:1359627]
ENSRNOP00000000559	ENSRNOT00000000559	ENSRNOG00000000477	Daxx	death-domain associated protein [Source:RGD Symbol;Acc:621227]
ENSRNOP00000000568	ENSRNOT00000000568	ENSRNOG00000000481	Cuta	cutA divalent cation tolerance homolog (E. coli) [Source:RGD Symbol;Acc:1303306]
ENSRNOP00000000572	ENSRNOT00000000572	ENSRNOG00000000483	Syngap1	synaptic Ras GTPase activating protein 1 [Source:RGD Symbol;Acc:621090]
ENSRNOP00000000574	ENSRNOT00000000574	ENSRNOG00000026799	Zbtb9	zinc finger and BTB domain containing 9 [Source:RGD Symbol;Acc:1303050]
ENSRNOP00000000576	ENSRNOT00000000576	ENSRNOG00000000485	Bak1	BCL2-antagonist/killer 1 [Source:RGD Symbol;Acc:621635]
ENSRNOP00000000577	ENSRNOT00000000577	ENSRNOG00000000486	Ggnbp1	gametogenetin binding protein 1 [Source:RGD Symbol;Acc:1359729]
ENSRNOP00000000580	ENSRNOT00000000580	ENSRNOG00000000488	Hmga1	high mobility group AT-hook 1 [Source:RGD Symbol;Acc:628699]
ENSRNOP00000000583	ENSRNOT00000000583	ENSRNOG00000000491	Spdef	SAM pointed domain containing ets transcription factor [Source:RGD Symbol;Acc:1594842]
